,id,k6_cluster,k10_cluster
442,2fh3bZ8jZhMxOcfESE9nQY,4,9
443,6od5hFv9IT5JHc7NEF9HRv,2,6
444,5vHLwhxxlGzmClMcxRRFPr,2,6
445,3pXF1nA74528Edde4of9CC,4,7
446,1KtVVUM6OkpyOsbVfbMybX,2,6
447,3RiPr603aXAoi4GHyXx0uy,4,7
448,0hy1SOTEn9ifXTzOwnCwEr,4,7
449,70eDxAyAraNTiD6lx2ZEnH,2,9
450,4IqXyCH75mW4dMDbHufqDX,4,7
451,664gdARxaClFsoF5SXKOws,2,9
452,3icbmPGKTsKAa0IinkizCM,2,6
453,5pfJsMwoRYKampPay8amX0,2,6
454,09CtPGIpYB4BrO8qb1RGsF,4,7
455,5tf1VVWniHgryyumXyJM7w,4,7
456,4KkGTqja19AHqItq3XBV3C,4,7
457,4z0PnuB07fxtVZZRWsCfxb,4,7
458,6GnhWMhgJb7uyiiPEiEkDA,0,0
459,5cY8y2XgOfkAh4kSWLFKkz,4,7
460,3yZQk5PC52CCmT4ZaTIKvv,2,9
461,1BECwm5qkaBwlbfo4kpYx8,2,9
462,3px2rAPu74ltbkf9eZsZ8h,2,6
463,1UYLxZIL4IicS6TaPUZFTH,2,6
464,2EqlS6tkEnglzr7tkKAAYD,4,7
465,3vv9phIu6Y1vX3jcqaGz5Z,2,6
466,49XzscKLtLN0Th6NvnoAfj,2,9
467,7gjDIb4cs4ZXKzTWUrNpUy,0,5
468,0qZDyzZkeFfPseTXUPnH4C,0,5
469,1GHhmrGQefkDlbJ5yHlp1x,2,2
470,1UmqCjLXjTwPmuTeaopDQh,4,7
471,0MuqFuh4MerIiFsYWuEFaP,4,7
472,3Hv6OR4t58anfhWxjplYzi,4,7
473,731Pa6Gt7GAdADATMSEL0N,4,7
474,18io9MAebBKtxPpteymmJO,0,5
475,422lAAWQO9TqL1LxIPdhOn,2,6
476,4ztaHDRJVuQe61KVCIpgqw,0,5
477,7miNmbTLgCeGU0clGmg1Oy,0,6
478,09nGThpfDl7YVkOHI9uimO,0,5
479,1AufKRy3qVHdHmbwusee6A,0,7
480,0vjKXtFLt6Ti08Y3JCnRKB,0,5
481,7M9t7BCy51ITF8IMyiemzk,4,7
482,26jrY21NkSefFPxpndtu4z,0,5
483,4wckW1OjAM2z6elKQdqUpi,2,6
484,7cYtIISdq6e8UtWKugjCvm,0,5
485,1Bqxj0aH5KewYHKUg1IdrF,0,5
486,3V8gULd6OJQ8myIO9ET23e,4,7
487,3DJzymVeQfMiPRgNSPUavd,0,2
488,7xq3uN2toVZ8IbNzfTucyJ,0,5
489,40YcuQysJ0KlGQTeGUosTC,4,7
490,66hayvUbTotekKU3H4ta1f,4,9
491,27L8sESb3KR79asDUBu8nW,4,7
492,5M5mzimlah21xlC1rAuIuY,2,9
493,3cfOd4CMv2snFaKAnMdnvK,2,6
494,4B0JvthVoAAuygILe3n4Bs,4,7
495,17AS0y6FnHdYImAPUydAJg,2,6
496,2M5ndhTi0zOIymTD4Ff1T8,2,6
497,4QRWA5UqYU1st9aO0UfxOj,0,6
498,5psz20rVFNRlt0u9cpzBpY,4,7
499,6bM3GKo47KVgvj3gHdWS0U,4,2
